product_id,category,brand
273982,Staples,ITC
931131,Bakery,ITC
422554,Personal Care,HUL
723948,Frozen,McCain
885339,Personal Care,Himalaya
964278,Snacks,PepsiCo
696856,Staples,Tata
402630,Dairy,Britannia
560485,Personal Care,HUL
230394,Personal Care,Himalaya
591465,Personal Care,P&G
822131,Staples,Tata
418862,Snacks,ITC
833723,Dairy,Mother Dairy
522060,Household,P&G
385470,Beverages,Coca-Cola
624783,Dairy,Amul
666211,Staples,Tata
617781,Staples,ITC
559023,Dairy,Nestle
184349,Snacks,Haldiram
727086,Bakery,English Oven
141797,Beverages,Coca-Cola
553014,Frozen,Mother Dairy
870214,Staples,Patanjali
437978,Beverages,Paper Boat
733039,Personal Care,Himalaya
362529,Snacks,Balaji
127121,Household,Reckitt
195763,Snacks,PepsiCo
340044,Frozen,Mother Dairy
807053,Bakery,Britannia
976566,Frozen,Mother Dairy
703139,Beverages,Coca-Cola
715643,Staples,Patanjali
121753,Dairy,Amul
901909,Dairy,Nestle
804938,Staples,Aashirvaad
961322,Household,Reckitt
382602,Bakery,Britannia
704238,Beverages,HUL
142185,Personal Care,Dabur
900177,Frozen,ITC
893005,Bakery,ITC
283700,Frozen,Mother Dairy
593355,Bakery,Britannia
644173,Staples,Aashirvaad
783157,Staples,Fortune
563711,Staples,Tata
391668,Frozen,McCain
290305,Beverages,Coca-Cola
713762,Beverages,Paper Boat
557058,Beverages,Dabur
765620,Dairy,Britannia
953797,Snacks,Balaji
615611,Staples,ITC
195674,Bakery,ITC
592841,Bakery,Britannia
464863,Household,Godrej
528184,Household,ITC
449499,Beverages,HUL
436653,Personal Care,P&G
802685,Frozen,ITC
209680,Beverages,Dabur
999398,Staples,ITC
268637,Household,Godrej
445824,Personal Care,Dabur
531641,Snacks,Balaji
827369,Household,HUL
619536,Dairy,Nestle
402218,Household,ITC
794769,Staples,ITC
519904,Dairy,Mother Dairy
953085,Bakery,Britannia
897441,Dairy,Amul
676818,Beverages,HUL
