store_id,store_type,region,state,city
2824,Wholesale,North,DL,Delhi
1409,Supermarket,South,KA,Bengaluru
5506,Convenience,West,MH,Pune
5012,Wholesale,East,OD,Bhubaneswar
4657,Wholesale,West,GJ,Ahmedabad
3286,Wholesale,West,MH,Mumbai
2679,Convenience,North,DL,Delhi
9935,Supermarket,North,DL,Delhi
2424,Wholesale,West,GJ,Surat
7912,Wholesale,East,OD,Bhubaneswar
1520,Wholesale,North,RJ,Jaipur
1488,Hypermarket,North,PB,Ludhiana
2535,Wholesale,East,BR,Patna
4582,Supermarket,East,OD,Bhubaneswar
4811,Kirana,South,TN,Chennai
9279,Kirana,North,UP,Lucknow
1434,Wholesale,North,HR,Gurugram
4257,Convenience,West,MH,Mumbai
9928,Kirana,North,RJ,Jaipur
7873,Wholesale,North,RJ,Jaipur
4611,Supermarket,North,HR,Gurugram
8359,Kirana,North,HR,Gurugram
5557,Convenience,East,AS,Guwahati
1106,Supermarket,South,TS,Hyderabad
3615,Hypermarket,South,TN,Chennai
7924,Hypermarket,East,OD,Bhubaneswar
6574,Kirana,East,BR,Patna
5552,Convenience,North,PB,Ludhiana
3547,Convenience,North,DL,Delhi
4527,Hypermarket,West,RJ,Udaipur
6514,Kirana,West,GJ,Ahmedabad
2674,Hypermarket,West,GJ,Ahmedabad
2519,Convenience,West,GJ,Surat
7224,Convenience,South,KA,Mysuru
2584,Hypermarket,North,HR,Gurugram
6881,Hypermarket,North,RJ,Jaipur
6635,Convenience,North,DL,Delhi
5333,Hypermarket,West,GJ,Ahmedabad
1711,Supermarket,West,GJ,Ahmedabad
8527,Wholesale,South,KA,Mysuru
9785,Kirana,South,KA,Bengaluru
3045,Kirana,East,BR,Patna
7201,Supermarket,North,UP,Lucknow
2291,Wholesale,South,TN,Chennai
5803,Kirana,East,AS,Guwahati
6925,Supermarket,North,DL,Delhi
4150,Convenience,North,UP,Lucknow
2139,Supermarket,West,GJ,Surat
1750,Hypermarket,North,UP,Lucknow
4733,Supermarket,North,UP,Lucknow
5741,Hypermarket,West,MH,Mumbai
2307,Supermarket,East,AS,Guwahati
4814,Supermarket,West,MH,Pune
2654,Supermarket,East,WB,Kolkata
